Fecha,Precio_Ponderado_COP/kWh
2022-01-01,196.0417
2022-01-02,198.9087
2022-01-03,206.4392
2022-01-04,164.5894
2022-01-05,176.2716
2022-01-06,192.5089
2022-01-07,198.512
2022-01-08,203.8959
2022-01-09,199.5924
2022-01-10,203.0664
2022-01-11,248.6578
2022-01-12,243.673
2022-01-13,239.495
2022-01-14,254.0661
2022-01-15,256.6133
2022-01-16,253.7758
2022-01-17,257.134
2022-01-18,271.1845
2022-01-19,265.3482
2022-01-20,289.6519
2022-01-21,302.8022
2022-01-22,309.0729
2022-01-23,308.6741
2022-01-24,339.6541
2022-01-25,446.1572
2022-01-26,398.5795
2022-01-27,484.2342
2022-01-28,486.3751
2022-01-29,491.6234
2022-01-30,457.7777
2022-01-31,523.0918
2022-02-01,579.4865
2022-02-02,631.7429
2022-02-03,685.5024
2022-02-04,635.7123
2022-02-05,679.6615
2022-02-06,644.5283
2022-02-07,632.1653
2022-02-08,573.401
2022-02-09,489.4757
2022-02-10,426.9624
2022-02-11,368.1509
2022-02-12,327.1581
2022-02-13,303.3255
2022-02-14,351.4208
2022-02-15,344.5003
2022-02-16,342.0192
2022-02-17,318.5448
2022-02-18,320.3221
2022-02-19,304.5606
2022-02-20,253.2933
2022-02-21,266.9611
2022-02-22,281.3129
2022-02-23,254.2676
2022-02-24,256.6133
2022-02-25,244.5716
2022-02-26,251.8565
2022-02-27,241.0709
2022-02-28,266.0843
2022-03-01,267.9038
2022-03-02,256.7093
2022-03-03,245.0164
2022-03-04,193.6522
2022-03-05,195.1116
2022-03-06,188.9661
2022-03-07,226.3131
2022-03-08,208.5103
2022-03-09,208.4511
2022-03-10,184.7235
2022-03-11,183.5806
2022-03-12,184.8532
2022-03-13,194.3902
2022-03-14,206.1741
2022-03-15,225.1011
2022-03-16,242.9418
2022-03-17,267.5673
2022-03-18,229.1322
2022-03-19,211.6803
2022-03-20,208.1701
2022-03-21,212.0958
2022-03-22,219.9319
2022-03-23,217.1842
2022-03-24,238.9453
2022-03-25,245.2683
2022-03-26,248.002
2022-03-27,249.9417
2022-03-28,274.8877
2022-03-29,281.7218
2022-03-30,282.632
2022-03-31,312.875
2022-04-01,283.2582
2022-04-02,239.91
2022-04-03,150.9825
2022-04-04,182.4767
2022-04-05,201.7526
2022-04-06,195.4456
2022-04-07,274.7551
2022-04-08,156.2066
2022-04-09,138.4214
2022-04-10,125.2806
2022-04-11,140.2537
2022-04-12,130.1812
2022-04-13,133.3539
2022-04-14,122.402
2022-04-15,107.0963
2022-04-16,120.3949
2022-04-17,110.6506
2022-04-18,140.9741
2022-04-19,189.8773
2022-04-20,147.7788
2022-04-21,136.0578
2022-04-22,116.272
2022-04-23,114.6682
2022-04-24,103.5511
2022-04-25,102.0605
2022-04-26,106.941
2022-04-27,103.1771
2022-04-28,100.2438
2022-04-29,98.4302
2022-04-30,97.5517
2022-05-01,96.9361
2022-05-02,99.0567
2022-05-03,108.5514
2022-05-04,138.3599
2022-05-05,106.2903
2022-05-06,114.7267
2022-05-07,115.3239
2022-05-08,110.4692
2022-05-09,104.7748
2022-05-10,108.7773
2022-05-11,102.3237
2022-05-12,101.3091
2022-05-13,102.4903
2022-05-14,100.1137
2022-05-15,97.2218
2022-05-16,99.7329
2022-05-17,114.1581
2022-05-18,146.8963
2022-05-19,122.6555
2022-05-20,114.9292
2022-05-21,108.7633
2022-05-22,94.9514
2022-05-23,96.4712
2022-05-24,106.3274
2022-05-25,100.7
2022-05-26,99.8859
2022-05-27,96.8116
2022-05-28,95.9994
2022-05-29,96.6048
2022-05-30,96.5888
2022-05-31,95.5489
2022-06-01,118.2519
2022-06-02,105.6646
2022-06-03,109.1139
2022-06-04,104.4184
2022-06-05,101.4667
2022-06-06,100.8477
2022-06-07,101.7769
2022-06-08,123.7129
2022-06-09,107.8795
2022-06-10,107.9022
2022-06-11,106.5494
2022-06-12,104.2463
2022-06-13,101.9142
2022-06-14,102.1829
2022-06-15,102.4565
2022-06-16,102.4252
2022-06-17,101.8725
2022-06-18,100.8288
2022-06-19,100.1734
2022-06-20,97.9973
2022-06-21,100.9321
2022-06-22,105.8837
2022-06-23,105.8145
2022-06-24,102.816
2022-06-25,102.0511
2022-06-26,103.4396
2022-06-27,103.3867
2022-06-28,102.688
2022-06-29,103.9728
2022-06-30,103.9695
2022-07-01,103.7514
2022-07-02,104.3706
2022-07-03,101.6199
2022-07-04,104.6202
2022-07-05,104.9435
2022-07-06,105.8657
2022-07-07,108.9945
2022-07-08,106.3395
2022-07-09,109.6944
2022-07-10,107.6172
2022-07-11,105.5455
2022-07-12,118.082
2022-07-13,116.3982
2022-07-14,112.373
2022-07-15,111.7817
2022-07-16,109.9947
2022-07-17,106.8214
2022-07-18,121.8059
